,FinalID,c_B0,c_B1,c_B2,c_B3,c_bic,c_aic,c_aicc,c_RSq,c_RSq_adj,b_B0,b_T0,b_Tm,b_bic,b_aic,b_aicc,b_RSq,b_RSq_adj,s_B0,s_E,s_El,s_Eh,s_Tl,s_Th,s_bic,s_aic,s_aicc,s_RSq,s_RSq_adj,sh_B0,sh_E,sh_Eh,sh_Th,sh_bic,sh_aic,sh_aicc,sh_RSq,sh_RSq_adj,sl_B0,sl_E,sl_El,sl_Tl,sl_bic,sl_aic,sl_aicc,sl_RSq,sl_RSq_adj
0,MTD2079,-0.3272588705689584,0.040830243798024,-0.000796792754841937,-1.0220669307014653e-06,-85.63072514039828,-87.22230623159177,-80.5556395649251,0.9449647982089103,0.9082746636815172,6.762827423212325e-05,6.937504504591658,37.06306007993582,-80.72315224566508,-81.91683806406019,-78.48826663548876,0.8930772637144071,0.8472532338777244,0.02740935952620649,2.0547513318074664,2.69001864786882,1.348369477981473,292.2055647709585,298.15,-77.80598499188284,-80.19335662867306,-59.19335662867306,0.9275184484663438,0.8187961211658594,0.026387954098765487,1.9379844439536853,2.5164257311851994,292.3827866172988,-82.26966412105915,-83.86124521225264,-77.19457854558597,0.9252967189034799,0.8754945315057998,0.04219806047470631,1.0728251354202196,2.2302454760447072,298.15000059887603,-77.9864633627694,-79.57804445396287,-72.9113777872962,0.8897328613998328,0.8162214356663879
1,MTD2081,-0.33413504407020866,0.04103001801372521,-0.0007776523159971046,-1.9106543629412595e-06,-78.42317453417684,-80.01475562537033,-73.34808895870366,0.9013420830649579,0.8355701384415964,7.07834765691362e-05,7.367491446319821,36.56890050818608,-76.28486732536707,-77.47855314376218,-74.04998171519075,0.8509859605812085,0.7871228008302977,0.021033488448313764,2.4623589206628167,2.633073086613302,5.106840259257746,290.1985340820814,298.1500000241375,-75.73221287864499,-78.1195845154352,-57.11958451543521,0.9185238449718516,0.7963096124296289,0.025999369932156458,1.747341140075565,2.534812032966748,293.8761698085128,-78.77386612397399,-80.36544721516748,-73.6987805485008,0.9044377919712724,0.840729653285454,0.03793737169153877,1.1257095818912177,2.4436701070245004,298.1500000000098,-76.54461263004058,-78.13619372123405,-71.46952705456738,0.8829692364064766,0.8049487273441277
2,MTD2083,-0.6258108628709829,0.08177568227847352,-0.002588113491392796,2.5263561056799962e-05,-79.94336379490261,-81.1537041668788,-73.1537041668788,0.9401743427416913,0.8923138169350444,5.2807970042922925e-05,4.721449184862344,39.772303476591865,-72.54823026265456,-73.4559855416367,-69.4559855416367,0.842219238719218,0.763328858078827,0.019704199951836587,2.803951304436264,2.9999999999795164,5.743887306513254,289.55130391728505,355.80110518811375,-78.84546801573518,-80.66097857369945,-52.66097857369945,0.9578722284744312,0.8736166854232936,0.019704198883425117,2.803951268782032,2.9999995742398244,289.55130423189365,-83.4506381961604,-84.66097856813658,-76.66097856813658,0.9578722250425948,0.9241700050766707,0.039305727719278205,1.5537664401809206,1.9962698566070922,293.1500000000878,-76.02100078232931,-77.2313411543055,-69.2313411543055,0.9114408295430259,0.8405934931774466
3,MTD2105,0.00020557409074204063,-3.3456505431856225e-05,1.9266874970946623e-06,-3.015623587722625e-08,-152.6626631656645,-152.98042933238384,-139.6470959990505,0.404717838939184,-0.38899170914190395,1.516678493906909e-08,-5.479018963119932,42.67801967493959,-151.62109913242824,-151.85942375746774,-145.85942375746774,0.12066915898901387,-0.5388289717692256,3.5324871741626573e-05,0.9170171712017351,1.6002973334816595e-06,5.999999943231119,271.7325718730283,304.56138873197926,-151.09636221544977,-151.5730114655288,-67.5730114655288,0.5694933603912065,-2.0135464772615546,1.389065331702799e-05,1.1289936755648815,2.9999999996958593,303.1499999391113,-152.8043214419889,-153.12208760870823,-139.78875427537488,0.41516589321634845,-0.3646129158285205,1.7646238255064617e-05,0.9174352294156649,5.999999910567965,305.48660169090357,-155.25524670710098,-155.57301287382032,-142.23967954048697,0.5694934361760564,-0.004515315589201707
4,MTD2110,1.3952058933083709e-05,7.267695032983313e-07,2.0539739202352442e-08,9.063715559136167e-10,-214.95204990269937,-215.2698160694187,-201.93648273608537,0.9994736454660252,0.9987718394207256,2.4669351561534825e-09,-3.1860772569924336,99.99999779091158,-181.52531532671463,-181.76363995175413,-175.76363995175413,0.9554553641001827,0.9220468871753198,4.8475109702406094e-05,0.4349940499126021,2.9777846397183172e-05,4.629518165954632,270.000000013938,396.00298223249473,-207.9366408291128,-208.41329007919182,-124.41329007919182,0.9992477710341803,0.9947343972392619,4.8473684678418394e-05,0.43497941940506263,7.224110193382316e-08,313.1003886915951,-212.0955240542175,-212.41329022093683,-199.0799568876035,0.9992477710475083,0.9982447991108526,2.439272800303094e-05,0.432018942529924,4.753258156330577,323.1485293929855,-211.1675462109106,-211.48531237762992,-198.15197904429658,0.9990552934700389,0.997795684763424
5,MTD2111,1.1483720292059438e-05,4.4405150703498794e-07,7.140040431469924e-08,-1.567599557939775e-09,-212.15783068571162,-212.47559685243095,-199.1422635190976,0.9933976940750113,0.9845946195083598,4.875203019061303e-09,-5.659814265615182,49.269220579673416,-185.54093004532803,-185.77925467036752,-179.77925467036752,0.7614779537068589,0.582586418987003,4.448939245560446e-05,0.3632952854778686,6.33864654018268e-05,1.2887526556539624,270.09032810590764,307.7082952415231,-210.20271983208082,-210.67936908215984,-126.67936908215984,0.9949874365952964,0.964912056167075,2.4384732842941403e-05,0.4916333521825652,0.8642359212425619,303.14999999998446,-205.74447427420202,-206.06224044092136,-192.72890710758801,0.985281745560074,0.9656574063068393,2.224328834232736e-05,0.3632626897034317,1.2887306178700335,312.16127251087545,-214.3616030150888,-214.67936918180814,-201.3460358484748,0.9949874366577331,0.988304018868044
6,MTD2140,0.188138176639281,-0.027780280134452592,0.0013175459630282243,-1.9683897113914227e-05,-115.39819615934576,-116.18709446869063,-106.18709446869063,0.9421189831512714,0.8842379663025428,1.0752489458198955e-05,17.37610564492053,33.94764885745714,-107.37205606684994,-107.9637297988586,-103.1637297988586,0.8197546681627059,0.7116074690603295,0.0005015208448699848,1.746222769914628,7.537304114180188e-12,5.999999986981155,270.137206333377,301.15,-111.09142686993714,-112.27477433395445,-70.27477433395445,0.9426801341520507,0.7707205366082026,0.0002931964512942198,1.8812638179755494,2.999999999439236,299.1515881981817,-103.01195427358212,-103.80085258292699,-93.80085258292699,0.770790010471448,0.541580020942896,0.00010348418740424581,2.2308036460938148,5.974376259130317,301.15000003756126,-119.58776831569632,-120.3766666250412,-110.3766666250412,0.9636613666767191,0.9273227333534382
7,MTD2143,2.696612914409111e-10,-3.722084647157787e-11,1.7916567664652997e-12,-2.424076675710993e-14,-469.5393963334008,-470.3282946427457,-460.3282946427457,0.9907532927467123,0.9815065854934246,7.827072323607354e-15,7.3824681834416666,71.31764265008867,-467.876161475826,-468.46783520783464,-463.6678352078346,0.9858004815332704,0.9772807704532326,3.3977820557140603e-11,0.7588860219153263,0.0012847718123148444,2.8630807340228928,297.370904259764,306.10505866222616,-466.2942749658123,-467.4776224298296,-425.4776224298296,0.991861837413341,0.967447349653364,1.4345191701181648e-11,0.9506901444420618,1.4637925532678167,305.149998836455,-468.9401197871846,-469.72901809652944,-459.72901809652944,0.9901166271168779,0.9802332542337557,1.7009726960282023e-11,0.7582523311833169,2.8625146898985334,308.0747899169381,-470.68872500274506,-471.4776233120899,-461.4776233120899,0.9918618376042815,0.983723675208563
8,MTD2168,0.1503119412602207,-0.047572626226849976,0.004782172734269204,-9.915412061073642e-05,-99.46482465271055,-101.40445125186255,-95.69016553757685,0.9950170966131999,0.9921697232493142,0.0001555246233707619,7.088614895638077,36.39138530621486,-86.94405620974678,-88.39877615911078,-85.39877615911078,0.9825997311902355,0.9760746303865737,0.0627998743151803,1.6474625498945126,1.949878645597596,5.9999999868880165,293.30016519978204,301.98090038968934,-119.8677740963349,-122.77721399506291,-105.97721399506291,0.9993985333349023,0.998676773336785,0.07072926019402126,1.0834842085676804,2.7710535794077655,299.9131705483321,-85.14021587810312,-87.07984247725513,-81.36555676296942,0.9835597905728248,0.9741653851858676,0.07189528479440488,1.0587711590438007,2.8005991193753936,300.15000219168564,-85.08963716250247,-87.02926376165448,-81.31497804736877,0.9834903493856997,0.9740562633203852
9,MTD2169,4.164112761799291,-0.6762481073561287,0.03497875388294682,-0.00048653372303235495,-31.6484031800423,-32.43730148938718,-22.43730148938718,0.9801730236778096,0.9603460473556191,0.0003926985849131981,9.411180637771238,48.48047701619702,-19.1096515112633,-19.70132524327196,-14.901325243271959,0.8980610458962637,0.8368976734340219,0.24282327495012135,0.872884187835172,2.2040242774273606,3.620008041612224,309.14999999060063,340.00305975737245,-23.267348335073706,-24.450695799091022,17.549304200908978,0.9691233684049108,0.876493473619643,0.24289570693407758,0.8727929982448771,2.2038560232660522,309.1499999997206,-27.661770850992305,-28.450669160337185,-18.450669160337185,0.9691232770142213,0.9382465540284426,0.38212178606724656,0.6118367139241392,3.3581443183948725,312.6834461191565,-32.99876559737141,-33.78766390671629,-23.78766390671629,0.9829354505104716,0.9658709010209432
